account,symbol,type,time,qty,avg_cost,buy_pwr
1,TSLA,stock,2023-03-17 17:57:10,75,98.5,500
2,TSLA,stock,2023-03-17 17:57:10,7,84.3,500
1,BTC/USD,crypto,2023-03-17 17:57:10,82,6.9,500
2,BTC/USD,crypto,2023-03-17 17:57:10,12,26.8,500
1,DOGE/USD,crypto,2023-03-17 17:57:10,92,29.7,500
2,DOGE/USD,crypto,2023-03-17 17:57:10,23,94.5,500
1,AAPL,stock,2023-03-17 18:07:10,25,53.5,500
2,AAPL,stock,2023-03-17 18:07:10,40,42.6,500
1,GOOGL,stock,2023-03-17 18:07:10,27,49.7,500
2,GOOGL,stock,2023-03-17 18:07:10,97,78.2,500
1,TSLA,stock,2023-03-17 18:07:10,77,34.7,500
2,TSLA,stock,2023-03-17 18:07:10,13,54.4,500
1,BTC/USD,crypto,2023-03-17 18:07:10,25,39.2,500
2,BTC/USD,crypto,2023-03-17 18:07:10,12,97.3,500
1,DOGE/USD,crypto,2023-03-17 18:07:10,27,86.8,500
2,DOGE/USD,crypto,2023-03-17 18:07:10,89,12.2,500
1,AAPL,stock,2023-03-17 18:17:10,6,13.2,500
2,AAPL,stock,2023-03-17 18:17:10,13,26.6,500
1,GOOGL,stock,2023-03-17 18:17:10,80,86.5,500
2,GOOGL,stock,2023-03-17 18:17:10,34,30.4,500
1,TSLA,stock,2023-03-17 18:17:10,65,42.2,500
2,TSLA,stock,2023-03-17 18:17:10,4,52,500
1,BTC/USD,crypto,2023-03-17 18:17:10,14,85.2,500
2,BTC/USD,crypto,2023-03-17 18:17:10,44,22.4,500
1,DOGE/USD,crypto,2023-03-17 18:17:10,50,54.2,500
2,DOGE/USD,crypto,2023-03-17 18:17:10,42,24.5,500
1,AAPL,stock,2023-03-17 18:27:10,83,72.8,500
2,AAPL,stock,2023-03-17 18:27:10,57,58.5,500
1,GOOGL,stock,2023-03-17 18:27:10,24,61.2,500
2,GOOGL,stock,2023-03-17 18:27:10,70,26.4,500
1,TSLA,stock,2023-03-17 18:27:10,35,4.9,500
2,TSLA,stock,2023-03-17 18:27:10,71,95.2,500
1,BTC/USD,crypto,2023-03-17 18:27:10,16,21.6,500
2,BTC/USD,crypto,2023-03-17 18:27:10,91,82,500
1,DOGE/USD,crypto,2023-03-17 18:27:10,41,35.8,500
2,DOGE/USD,crypto,2023-03-17 18:27:10,84,99.3,500
1,AAPL,stock,2023-03-17 18:37:10,88,3.4,500
2,AAPL,stock,2023-03-17 18:37:10,17,60.4,500
1,GOOGL,stock,2023-03-17 18:37:10,50,60.3,500
2,GOOGL,stock,2023-03-17 18:37:10,92,85.6,500
1,TSLA,stock,2023-03-17 18:37:10,10,65.9,500
2,TSLA,stock,2023-03-17 18:37:10,38,31.3,500
1,BTC/USD,crypto,2023-03-17 18:37:10,96,7.7,500
2,BTC/USD,crypto,2023-03-17 18:37:10,79,37.4,500
1,DOGE/USD,crypto,2023-03-17 18:37:10,52,2.5,500
2,DOGE/USD,crypto,2023-03-17 18:37:10,95,99.2,500
1,AAPL,stock,2023-03-17 18:47:10,25,99,500
2,AAPL,stock,2023-03-17 18:47:10,14,41.3,500
1,GOOGL,stock,2023-03-17 18:47:10,92,0.2,500
2,GOOGL,stock,2023-03-17 18:47:10,65,74.1,500
1,TSLA,stock,2023-03-17 18:47:10,49,67.1,500
2,TSLA,stock,2023-03-17 18:47:10,27,61.6,500
1,BTC/USD,crypto,2023-03-17 18:47:10,55,60.7,500
2,BTC/USD,crypto,2023-03-17 18:47:10,19,55.6,500
1,DOGE/USD,crypto,2023-03-17 18:47:10,78,53.8,500
2,DOGE/USD,crypto,2023-03-17 18:47:10,5,61.5,500
1,AAPL,stock,2023-03-17 18:57:10,71,97.2,500
2,AAPL,stock,2023-03-17 18:57:10,4,28.6,500
1,GOOGL,stock,2023-03-17 18:57:10,63,17.2,500
2,GOOGL,stock,2023-03-17 18:57:10,7,72.9,500
1,TSLA,stock,2023-03-17 18:57:10,95,17.8,500
2,TSLA,stock,2023-03-17 18:57:10,23,61,500
1,BTC/USD,crypto,2023-03-17 18:57:10,79,77.5,500
2,BTC/USD,crypto,2023-03-17 18:57:10,25,83.6,500
1,DOGE/USD,crypto,2023-03-17 18:57:10,12,36.1,500
2,DOGE/USD,crypto,2023-03-17 18:57:10,1,89.3,500
1,AAPL,stock,2023-03-17 19:07:10,5,39,500
2,AAPL,stock,2023-03-17 19:07:10,100,42.9,500
1,GOOGL,stock,2023-03-17 19:07:10,82,37.5,500
2,GOOGL,stock,2023-03-17 19:07:10,77,55.1,500
1,TSLA,stock,2023-03-17 19:07:10,53,57.8,500
2,TSLA,stock,2023-03-17 19:07:10,44,70.4,500
1,BTC/USD,crypto,2023-03-17 19:07:10,91,30.8,500
2,BTC/USD,crypto,2023-03-17 19:07:10,51,81,500
1,DOGE/USD,crypto,2023-03-17 19:07:10,97,59.7,500
2,DOGE/USD,crypto,2023-03-17 19:07:10,54,75.8,500
1,AAPL,stock,2023-03-17 19:17:10,98,5.6,500
2,AAPL,stock,2023-03-17 19:17:10,4,25.4,500
1,GOOGL,stock,2023-03-17 19:17:10,61,81.8,500
2,GOOGL,stock,2023-03-17 19:17:10,11,19.8,500
1,TSLA,stock,2023-03-17 19:17:10,32,7.6,500
2,TSLA,stock,2023-03-17 19:17:10,17,63.3,500
1,BTC/USD,crypto,2023-03-17 19:17:10,52,18.1,500
2,BTC/USD,crypto,2023-03-17 19:17:10,81,56.3,500
1,DOGE/USD,crypto,2023-03-17 19:17:10,12,36.8,500
2,DOGE/USD,crypto,2023-03-17 19:17:10,82,37,500
1,AAPL,stock,2023-03-17 19:27:10,83,68,500
2,AAPL,stock,2023-03-17 19:27:10,34,26.9,500
1,GOOGL,stock,2023-03-17 19:27:10,65,21.3,500
2,GOOGL,stock,2023-03-17 19:27:10,9,45.6,500
1,TSLA,stock,2023-03-17 19:27:10,2,61.1,500
2,TSLA,stock,2023-03-17 19:27:10,60,38.4,500
1,BTC/USD,crypto,2023-03-17 19:27:10,66,57.9,500
