account,symbol,type,time,qty,avg_cost,buy_pwr
1,TSLA,stock,2022-03-25 10:57:14,35,10.3,600
2,TSLA,stock,2022-03-25 10:57:14,100,31.8,600
1,BTC/USD,crypto,2022-03-25 10:57:14,12,52.6,600
2,BTC/USD,crypto,2022-03-25 10:57:14,17,7,600
1,DOGE/USD,crypto,2022-03-25 10:57:14,27,48,600
2,DOGE/USD,crypto,2022-03-25 10:57:14,66,71.3,600
1,AMZN,stock,2022-03-25 10:57:14,50,76.3,600
2,AMZN,stock,2022-03-25 10:57:14,64,28.6,600
1,AAPL,stock,2022-04-01 10:57:14,45,62.5,600
2,AAPL,stock,2022-04-01 10:57:14,47,94.7,600
1,GOOGL,stock,2022-04-01 10:57:14,40,73.1,600
2,GOOGL,stock,2022-04-01 10:57:14,29,93.7,600
1,TSLA,stock,2022-04-01 10:57:14,48,6.6,600
2,TSLA,stock,2022-04-01 10:57:14,91,81.5,600
1,BTC/USD,crypto,2022-04-01 10:57:14,83,35.3,600
2,BTC/USD,crypto,2022-04-01 10:57:14,69,77.2,600
1,DOGE/USD,crypto,2022-04-01 10:57:14,27,33.7,600
2,DOGE/USD,crypto,2022-04-01 10:57:14,80,5.5,600
1,AMZN,stock,2022-04-01 10:57:14,66,84.9,600
2,AMZN,stock,2022-04-01 10:57:14,15,24.9,600
1,AAPL,stock,2022-04-08 10:57:14,76,31,600
2,AAPL,stock,2022-04-08 10:57:14,40,16.4,600
1,GOOGL,stock,2022-04-08 10:57:14,71,6.6,600
2,GOOGL,stock,2022-04-08 10:57:14,14,0.4,600
1,TSLA,stock,2022-04-08 10:57:14,78,88.8,600
2,TSLA,stock,2022-04-08 10:57:14,85,6,600
1,BTC/USD,crypto,2022-04-08 10:57:14,55,84,600
2,BTC/USD,crypto,2022-04-08 10:57:14,60,91.8,600
1,DOGE/USD,crypto,2022-04-08 10:57:14,74,4,600
2,DOGE/USD,crypto,2022-04-08 10:57:14,86,23.9,600
1,AMZN,stock,2022-04-08 10:57:14,70,98.1,600
2,AMZN,stock,2022-04-08 10:57:14,32,34.9,600
1,AAPL,stock,2022-04-15 10:57:14,42,50.2,600
2,AAPL,stock,2022-04-15 10:57:14,24,89.8,600
1,GOOGL,stock,2022-04-15 10:57:14,54,31.4,600
2,GOOGL,stock,2022-04-15 10:57:14,73,45.2,600
1,TSLA,stock,2022-04-15 10:57:14,44,32.1,600
2,TSLA,stock,2022-04-15 10:57:14,76,95.4,600
1,BTC/USD,crypto,2022-04-15 10:57:14,13,18.3,600
2,BTC/USD,crypto,2022-04-15 10:57:14,66,70.6,600
1,DOGE/USD,crypto,2022-04-15 10:57:14,34,99.2,600
2,DOGE/USD,crypto,2022-04-15 10:57:14,98,25.3,600
1,AMZN,stock,2022-04-15 10:57:14,34,49.5,600
2,AMZN,stock,2022-04-15 10:57:14,58,19.5,600
1,AAPL,stock,2022-04-22 10:57:14,23,37.9,600
2,AAPL,stock,2022-04-22 10:57:14,66,45.1,600
1,GOOGL,stock,2022-04-22 10:57:14,59,9.7,600
2,GOOGL,stock,2022-04-22 10:57:14,17,13.2,600
1,TSLA,stock,2022-04-22 10:57:14,85,88.7,600
2,TSLA,stock,2022-04-22 10:57:14,87,54.5,600
1,BTC/USD,crypto,2022-04-22 10:57:14,28,4.9,600
2,BTC/USD,crypto,2022-04-22 10:57:14,84,20.8,600
1,DOGE/USD,crypto,2022-04-22 10:57:14,97,37.9,600
2,DOGE/USD,crypto,2022-04-22 10:57:14,79,98.9,600
1,AMZN,stock,2022-04-22 10:57:14,4,14.7,600
2,AMZN,stock,2022-04-22 10:57:14,39,55.9,600
1,AAPL,stock,2022-04-29 10:57:14,45,40.8,600
2,AAPL,stock,2022-04-29 10:57:14,41,61.2,600
1,GOOGL,stock,2022-04-29 10:57:14,3,9.5,600
2,GOOGL,stock,2022-04-29 10:57:14,37,70.9,600
1,TSLA,stock,2022-04-29 10:57:14,15,44.3,600
2,TSLA,stock,2022-04-29 10:57:14,78,28.3,600
1,BTC/USD,crypto,2022-04-29 10:57:14,90,12,600
2,BTC/USD,crypto,2022-04-29 10:57:14,42,39.1,600
1,DOGE/USD,crypto,2022-04-29 10:57:14,67,7.5,600
2,DOGE/USD,crypto,2022-04-29 10:57:14,55,85.2,600
1,AMZN,stock,2022-04-29 10:57:14,63,40.8,600
2,AMZN,stock,2022-04-29 10:57:14,66,48.6,600
1,AAPL,stock,2022-05-06 10:57:14,67,56.9,600
2,AAPL,stock,2022-05-06 10:57:14,73,74.7,600
1,GOOGL,stock,2022-05-06 10:57:14,58,77.1,600
2,GOOGL,stock,2022-05-06 10:57:14,48,92.2,600
1,TSLA,stock,2022-05-06 10:57:14,36,16,600
2,TSLA,stock,2022-05-06 10:57:14,44,96,600
1,BTC/USD,crypto,2022-05-06 10:57:14,85,44.7,600
2,BTC/USD,crypto,2022-05-06 10:57:14,74,5.4,600
1,DOGE/USD,crypto,2022-05-06 10:57:14,53,15.7,600
2,DOGE/USD,crypto,2022-05-06 10:57:14,93,63.5,600
1,AMZN,stock,2022-05-06 10:57:14,15,65,600
